"","Model","RMSE","MAE","MAD","LogScore","SD_LogScore"
"1","Best BIC",1.1235531164134,0.889081027477082,0.781419739462291,2.44319706760136,2.02624491920169
"2","Best AIC",1.70976964911292,1.13481993533008,0.872332038873416,3.13883973245622,4.75455094102919
