"Year","Estimate","SE","CV","a_par","b_par","c_par","retro_year","retro_id"
2004,36.9878503464432,19.7061673362148,0.53277406368953,0.836947070278133,-0.375882569146622,0.660333408592324,0,"0"
2005,55.7758925718892,20.1071489357361,0.360498918234614,0.243087957209282,-0.375882569146622,0.873380042324016,0,"0"
2006,151.508193634754,46.3999476098564,0.306253718011544,-1.30403020509938,-0.375882569146622,1.10754072459868,0,"0"
2007,45.9902206083259,15.9310976642274,0.346401853557174,0.959140038324203,-0.375882569146622,0.872079346234765,0,"0"
2008,59.7012952183838,23.4301917735138,0.392457009312907,0.544183251651464,-0.375882569146622,1.13268786020464,0,"0"
2009,36.2140731617595,15.070598904482,0.41615310261194,0.398433276294319,-0.375882569146622,0.512107845104839,0,"0"
2010,27.1016713117086,11.3903785690679,0.420283252573688,0.359106751176362,-0.375882569146622,0.179444083851589,0,"0"
2011,14.6542909637852,7.81420379168041,0.533236566067338,1.16555525175473,-0.375882569146622,0.0455738086645657,0,"0"
2012,20.5491225204409,6.6071339264938,0.32152876211242,1.11538846007309,-0.375882569146622,0.349207769897809,0,"0"
2013,39.0831358008472,12.4140515148852,0.31763192130085,0.198198410864382,-0.375882569146622,0.486245683486588,0,"0"
2014,38.4839530161693,13.5554355405553,0.352236048486493,0.613761642226889,-0.375882569146622,0.694997100169461,0,"0"
2015,52.3876834977077,18.310633663016,0.34952172801871,-0.709564826690102,-0.375882569146622,0.372292909845324,0,"0"
2016,15.9496797796635,5.57385114477974,0.349464768056763,0.890300707839483,-0.375882569146622,-0.091580715674496,0,"0"
2017,7.30278466510622,4.12536674807879,0.564903244072142,1.3239777585354,-0.375882569146622,-0.644027399491428,0,"0"
2018,13.4501717277575,5.3459651561297,0.397464453565086,0.0617769414970979,-0.375882569146622,-0.671135224933725,0,"0"
2019,11.4812342553465,4.3297848669469,0.377118415202673,0.0435420456974026,-0.375882569146622,-0.851244067291223,0,"0"
2020,4.63294227119379,2.58839463204388,0.558693478254137,1.0380467651306,-0.375882569146622,-1.22345332524155,0,"0"
2021,7.73357354321974,4.05812927654129,0.524741796772486,0.120624883276994,-0.375882569146622,-1.27640629329264,0,"0"
2004,37.4657714823395,19.4757905625325,0.519828894267211,0.936974016398381,-0.397991602210438,0.683857412197035,1,"1"
2005,55.9239287793467,20.4022036360774,0.364820642637184,0.272764882735073,-0.397991602210438,0.884696574792853,1,"1"
2006,155.666356911416,46.9085599289651,0.30134038503682,-1.32217461207288,-0.397991602210438,1.11473167422299,1,"1"
2007,44.615541274773,15.7337076359511,0.352650829428521,1.01729641971138,-0.397991602210438,0.893021706557436,1,"1"
2008,60.9799958920509,24.2195638661303,0.39717227775818,0.585399769315146,-0.397991602210438,1.16099295021023,1,"1"
2009,37.0202872580337,15.3154207862739,0.413703456148909,0.420854111851381,-0.397991602210438,0.54363994619363,1,"1"
2010,27.6489435446179,11.7225126176983,0.423976872706956,0.383168927492306,-0.397991602210438,0.208509819342271,1,"1"
2011,14.4470107126191,8.05196810185626,0.557344924983206,1.25422761590288,-0.397991602210438,0.0792753748533973,1,"1"
2012,20.825791462862,6.67814681448977,0.320667131734162,1.16804806091273,-0.397991602210438,0.382114798716499,1,"1"
2013,39.4252688842498,12.5412017829571,0.318100602427781,0.239578999837723,-0.397991602210438,0.512375185200521,1,"1"
2014,39.6493877391928,14.1276268763771,0.3563138722168,0.62134236017366,-0.397991602210438,0.72373839269155,1,"1"
2015,54.0888132179168,18.5655117056908,0.343241247148329,-0.705052087186799,-0.397991602210438,0.399883899788522,1,"1"
2016,15.7805101331723,5.62358534512846,0.356362709295886,1.01073693236523,-0.397991602210438,-0.0411027046065055,1,"1"
2017,7.17644279919577,4.0739557606198,0.567684558299043,1.53524814041864,-0.397991602210438,-0.584361727363104,1,"1"
2018,14.0713129577467,5.68159989482252,0.403771837914713,0.0880588978656573,-0.397991602210438,-0.623146380660064,1,"1"
2019,11.9652328712153,4.7321000257101,0.395487499210658,0.127668474721204,-0.397991602210438,-0.784320603168073,1,"1"
2020,5.03623962036604,3.16390641190594,0.62822793401478,1.19505544125869,-0.397991602210438,-1.10720913029772,1,"1"
2004,37.8160880531086,19.7664772565406,0.522700212374711,0.840034156055958,-0.476007510248864,0.716925460953031,2,"2"
2005,55.923617435715,20.0279421159539,0.358130304052243,0.206843504651979,-0.476007510248864,0.883900728901871,2,"2"
2006,150.579162267117,45.8402678519271,0.304426370566531,-1.39020657779977,-0.476007510248864,1.08275410939482,2,"2"
2007,46.8176869712662,15.6020967368206,0.333252190489381,0.901928879990581,-0.476007510248864,0.895977574963726,2,"2"
2008,58.1178230680424,23.2344380944203,0.399781630967461,0.464355243265482,-0.476007510248864,1.09247697535397,2,"2"
2009,37.893366456812,16.5192637560105,0.435940780686189,0.345416704368074,-0.476007510248864,0.567605862998326,2,"2"
2010,28.9997912049719,14.1477982239564,0.487858623669359,0.323773846885573,-0.476007510248864,0.263294516959053,2,"2"
2011,15.5529344402765,9.11376857659325,0.585983861218618,1.16356266794296,-0.476007510248864,0.144243901758353,2,"2"
2012,20.8210609811944,6.8649604742123,0.329712327359914,1.07457210971401,-0.476007510248864,0.37228994655357,2,"2"
2013,38.5967922495428,11.9347131077252,0.30921515525339,0.159989602478153,-0.476007510248864,0.486175986581255,2,"2"
2014,38.3184325714751,13.6408921598696,0.355987738653593,0.487540608785471,-0.476007510248864,0.655108225161871,2,"2"
2015,52.8622576957438,18.125895418996,0.342889165334598,-0.777093408536612,-0.476007510248864,0.376090707082918,2,"2"
2016,16.3246445764631,5.761935797446,0.35295934134784,0.946992012488121,-0.476007510248864,-0.0133569196637851,2,"2"
2017,8.22958989827882,5.10605595525973,0.620450838786953,1.39089184287857,-0.476007510248864,-0.444900587291338,2,"2"
2018,16.2843305717881,7.97352837817704,0.489644222280209,0.0541299941846181,-0.476007510248864,-0.469995618194578,2,"2"
2019,15.1312138763774,6.44872921408041,0.426187169566616,0.207680871700603,-0.476007510248864,-0.491545188427444,2,"2"
2004,37.4478441145878,21.1895397904694,0.565841379963847,0.802508410804962,-0.442138237539774,0.666891155564643,3,"3"
2005,56.2034255920403,20.7955973310453,0.370005869072693,0.227254162047037,-0.442138237539774,0.879323927362425,3,"3"
2006,150.235185485766,47.386924447221,0.315418284298725,-1.29330223332585,-0.442138237539774,1.11248591550112,3,"3"
2007,46.9562203179472,16.5574775183268,0.352615210641185,0.928541123215764,-0.442138237539774,0.87329482524816,3,"3"
2008,59.3092938478393,24.6389230963104,0.415431064809551,0.525774653762796,-0.442138237539774,1.12395458623864,3,"3"
2009,36.184945994863,16.4865780402975,0.455619805060314,0.38883699631973,-0.442138237539774,0.510695273272472,3,"3"
2010,27.1248681070819,13.1430802051882,0.484539875117652,0.350860259310733,-0.442138237539774,0.181439537867968,3,"3"
2011,14.8670581614488,9.03175365190641,0.60750106401859,1.13218023510278,-0.442138237539774,0.0455189692787446,3,"3"
2012,20.5726041523005,6.82095846944135,0.331555422879149,1.08968001484699,-0.442138237539774,0.343535658545928,3,"3"
2013,39.2279549422647,12.621398998633,0.321745016206147,0.177479270088907,-0.442138237539774,0.484781640582654,3,"3"
2014,38.266410784338,14.1926082203205,0.370889454469803,0.609941872672704,-0.442138237539774,0.693003564621681,3,"3"
2015,52.8761713553267,19.0379815633067,0.360048412646443,-0.709364513685638,-0.442138237539774,0.386900690593752,3,"3"
2016,16.7292335437701,6.21952462571974,0.371775826396774,0.87723725175269,-0.442138237539774,-0.0504594368753785,3,"3"
2017,8.20590543809949,5.35634302890893,0.65274247544211,1.30425323193339,-0.442138237539774,-0.54914802273545,3,"3"
2018,15.8735747643877,8.38068424337196,0.527964517619181,0.101625123482378,-0.442138237539774,-0.518094499434912,3,"3"
2004,32.8412212298939,20.0055882181776,0.609160910251638,0.755317358531055,-0.443017423887233,0.408971522525387,4,"4"
2005,54.5896425409884,20.5908514539843,0.377193373972429,0.223775939408384,-0.443017423887233,0.816007849739959,4,"4"
2006,163.267114242923,51.4462893423463,0.315105032516224,-1.27761968900666,-0.443017423887233,1.17096958506084,4,"4"
2007,41.9138508190423,18.1481749512374,0.432987535065432,0.902304670678214,-0.443017423887233,0.714514266161907,4,"4"
2008,70.3752242278317,30.2870802642235,0.430365666277277,0.614404192789844,-0.443017423887233,1.29302215748216,4,"4"
2009,33.5924296178431,15.3890140888519,0.458109587901847,0.342356223955572,-0.443017423887233,0.357233669546585,4,"4"
2010,23.9259290835911,9.97409865031437,0.416874037178134,0.246323853319159,-0.443017423887233,-0.0393623611319543,4,"4"
2011,12.1942569059971,7.20792904741545,0.591092110243355,1.07285187672573,-0.443017423887233,-0.2548005299691,4,"4"
2012,20.8541612343219,6.87952774810125,0.329887530397476,1.11958300158887,-0.443017423887233,0.334959893323719,4,"4"
2013,40.7332036125631,14.1447415849478,0.347253354277914,0.209149611110882,-0.443017423887233,0.500066567234607,4,"4"
2014,44.2857568406647,16.5832392063051,0.374459880317045,0.709291613095653,-0.443017423887233,0.85246218713265,4,"4"
2015,56.148355550576,20.2020825962143,0.359798295036746,-0.693124182174142,-0.443017423887233,0.407785416367618,4,"4"
2016,15.0808141323427,6.04762842493107,0.401014717896508,0.789511573850292,-0.443017423887233,-0.252920128655409,4,"4"
2017,5.11060642000256,4.67221870044742,0.914220019401352,1.06453527719051,-0.443017423887233,-1.29504693595581,4,"4"
2004,39.7463124080259,15.3892025630169,0.387185669076294,1.00326278082936,-0.43743077419416,0.90557630284827,5,"5"
2005,54.0681989047249,16.6004813129214,0.307028561135791,0.310964672426302,-0.43743077419416,0.934003873962296,5,"5"
2006,129.355293599268,42.7892981384132,0.330788922106047,-1.32818298795326,-0.43743077419416,0.96893947144631,5,"5"
2007,43.4270300702928,13.2882870437278,0.305991153947641,1.05241384376856,-0.43743077419416,0.914025902909958,5,"5"
2008,46.899000721658,18.6037266634671,0.396676397731346,0.530425456452772,-0.43743077419416,0.921398139657029,5,"5"
2009,41.0195425189143,14.0934671975396,0.343579336386821,0.556649028247002,-0.43743077419416,0.771428366976121,5,"5"
2010,35.8645056453181,17.4524586520548,0.486622033066643,0.661680971806882,-0.43743077419416,0.666218065919988,5,"5"
2011,20.1515879048285,13.5377997738005,0.671798164875967,1.42107961560501,-0.43743077419416,0.609774696949187,5,"5"
2012,23.4819755596123,10.6105813716293,0.451860676913357,1.3058881133869,-0.43743077419416,0.62132428917876,5,"5"
2013,41.254456637677,15.1976798957269,0.36838880291656,0.315667029848382,-0.43743077419416,0.642954108940609,5,"5"
2014,35.7796816861927,11.0074639994122,0.307645665938386,0.669361695447624,-0.43743077419416,0.68468750114798,5,"5"
2015,61.6936303842991,23.3731262798753,0.378858013935644,-0.562122427081297,-0.43743077419416,0.653873626540778,5,"5"
2016,24.3173107978909,8.96939172029597,0.368848010984583,1.35258233947138,-0.43743077419416,0.63625921980207,5,"5"
2004,36.0332000517916,21.7896108948677,0.604709292084769,0.77541130265087,-0.402123125365004,0.617306479736288,6,"6"
2005,54.8133607253265,19.4909722490951,0.35558798057951,0.245028196124431,-0.402123125365004,0.851331664701832,6,"6"
2006,144.659579289055,44.4126320202003,0.30701480149791,-1.22684647331652,-0.402123125365004,1.0910171273396,6,"6"
2007,45.8597513846754,16.5274422021951,0.360391011795105,0.942906825776306,-0.402123125365004,0.829998562080965,6,"6"
2008,58.620551855597,25.0730582986602,0.427717882295342,0.556722444251244,-0.402123125365004,1.1078809768086,6,"6"
2009,34.0465670486673,15.2306970500027,0.447348980243188,0.438466597012885,-0.402123125365004,0.448531698446612,6,"6"
2010,25.5251281348277,12.2743997129399,0.480875145782016,0.394232641492498,-0.402123125365004,0.118580865782548,6,"6"
2011,14.6686363507765,9.73150722631472,0.663422760889399,1.10486034185209,-0.402123125365004,-0.0148779521274042,6,"6"
2012,20.4508419364727,6.54020560397197,0.319801288586948,1.09838332902793,-0.402123125365004,0.319421857201654,6,"6"
2013,39.983705974842,12.3136554420466,0.307966836535725,0.209334746560168,-0.402123125365004,0.495400695406789,6,"6"
2014,39.5884880761175,13.9175098493994,0.35155446761796,0.771735478283996,-0.402123125365004,0.778363076615267,6,"6"
2015,65.6712165463949,23.7739878278525,0.362015340633394,-0.523843009457468,-0.402123125365004,0.643166438850846,6,"6"
2004,35.1917323142182,21.364842163235,0.607098336975106,0.82287453426856,-0.348034597318055,0.574357181954738,7,"7"
2005,55.7716391690443,20.2809888479303,0.363643406399773,0.275076031191668,-0.348034597318055,0.882678164832683,7,"7"
2006,152.431772962167,46.2569059279875,0.303459738275617,-1.16108694388286,-0.348034597318055,1.17941315361705,7,"7"
2007,41.9365304999731,16.9740587079831,0.404755913415249,1.02037505274001,-0.348034597318055,0.82639268689205,7,"7"
2008,63.9336534181234,26.9973358877668,0.422271127088662,0.659590776952942,-0.348034597318055,1.23738973089615,7,"7"
2009,33.086668187857,14.8146837041119,0.44775386932278,0.468037567811152,-0.348034597318055,0.432498361981059,7,"7"
2010,23.9072022926812,10.4764066847955,0.438211320443911,0.40995433189768,-0.348034597318055,0.0698305151168144,7,"7"
2011,13.3471942526857,8.36658651754996,0.626842342979047,1.12881514028402,-0.348034597318055,-0.107626997569417,7,"7"
2012,20.9073234852792,6.58229267854484,0.314831914433209,1.13827129385795,-0.348034597318055,0.354701109945111,7,"7"
2013,41.7680526436295,13.807088121773,0.330565761338622,0.268891267469199,-0.348034597318055,0.569998068217291,7,"7"
2014,46.0443780835985,17.2881888432659,0.375467962926492,0.888930574985138,-0.348034597318055,0.965909788398685,7,"7"
2004,32.4726166502618,20.8284530979805,0.641415914285817,0.819703665457451,-0.394511738776616,0.452595284748327,8,"8"
2005,53.400870213661,19.5016532229254,0.365193547312951,0.279828655698898,-0.394511738776616,0.811079134344916,8,"8"
2006,158.304255937237,48.6846523219702,0.307538493098203,-1.25277436762184,-0.394511738776616,1.14010960924662,8,"8"
2007,41.724523004463,18.2550225709121,0.437513032059335,0.964719547822802,-0.394511738776616,0.748701671094759,8,"8"
2008,67.3194586201538,30.2965754224041,0.450041875609113,0.632305313654793,-0.394511738776616,1.24758478256216,8,"8"
2009,33.6271084929031,15.4038617816148,0.458078689247566,0.388882140061506,-0.394511738776616,0.379948348834234,8,"8"
2010,23.9463354447218,10.5871707410993,0.442120706341016,0.299631452908547,-0.394511738776616,-0.0176263018105386,8,"8"
2011,12.4916286550335,7.90396354194751,0.632740834699932,1.11295185773891,-0.394511738776616,-0.215511339588676,8,"8"
2012,19.986090163566,6.213511232051,0.310891784295961,1.12980400546527,-0.394511738776616,0.281604625373737,8,"8"
2013,35.9469822413675,12.4172442511442,0.345432174744686,0.191642183728721,-0.394511738776616,0.334317956723852,8,"8"
2004,32.1541835750935,21.1979916213343,0.65926076374566,0.853753648052001,-0.401732607582076,0.398400603774535,9,"9"
2005,54.1891766768773,20.4636657427976,0.37763381910782,0.313548033712717,-0.401732607582076,0.816650254561848,9,"9"
2006,163.030958781204,51.7486183274769,0.317415898884128,-1.19660120705939,-0.401732607582076,1.16934405358466,9,"9"
2007,39.9696846251811,19.3288627190661,0.483588071818031,1.02071617700691,-0.401732607582076,0.701397790182646,9,"9"
2008,70.7697263960579,32.6889989787683,0.461906533251613,0.729822765700211,-0.401732607582076,1.31452524004154,9,"9"
2009,32.7622524049841,15.6159270293311,0.476643877725436,0.439704727495328,-0.401732607582076,0.34070068182235,9,"9"
2010,23.3320153774901,9.91465765311121,0.424937901535781,0.341651203329283,-0.401732607582076,-0.0576313889322889,9,"9"
2011,11.7616385745205,7.46359445497793,0.634570974757417,1.16674795067214,-0.401732607582076,-0.290746900118848,9,"9"
2012,20.5500176482625,7.05859351802178,0.343483574507713,1.19833274835615,-0.401732607582076,0.29651639109151,9,"9"
2004,26.2801264132033,16.7232920858049,0.636347475003126,0.453182676224201,-0.608389349654779,-0.000987011942749423,10,"10"
2005,49.6007787979142,18.328701266941,0.369524465364076,0.152791120448218,-0.608389349654779,0.642266385716628,10,"10"
2006,174.777759275556,57.1259148656016,0.326848879985563,-1.42396374779226,-0.608389349654779,1.10607620733879,10,"10"
2007,43.8390502528822,20.6652968404672,0.47139015834652,0.457221255174986,-0.608389349654779,0.411303224014614,10,"10"
2008,81.7869723369194,36.8798649105166,0.450925909796378,0.453054630253728,-0.608389349654779,1.29669095075554,10,"10"
2009,33.4672458500886,14.3846374280591,0.429812405015125,0.0671624545942247,-0.608389349654779,0.131319233940365,10,"10"
2010,22.6439100916894,8.52047225253988,0.376280961107817,-0.151733415719247,-0.608389349654779,-0.370407369084715,10,"10"
2011,8.57843112906222,4.51208701622015,0.525980444248598,0.578366236591502,-0.608389349654779,-0.984806864960645,10,"10"
