"","model","sample_id","rmse","mae","mad","ls"
"summary",1,1,0.471770491975004,0.471770491975004,0.471770491975004,0.111283698549169
"summary",2,1,0.574868382914446,0.574868382914446,0.574868382914446,0.165236828837335
"summary",1,2,0.0523791823242259,0.0523791823242259,0.0523791823242259,0.00137178937047725
"summary",2,2,0.582445500510104,0.582445500510104,0.582445500510104,0.169621380532233
"summary",1,3,0.533470475089549,0.533470475089549,0.533470475089549,2.54417001075637
"summary",2,3,1.00869223713077,1.00869223713077,1.00869223713077,2.69252532393388
"summary",1,4,0.8971505360099,0.8971505360099,0.8971505360099,0.402439542131425
"summary",2,4,0.726551194486658,0.726551194486658,0.726551194486658,0.263938319104995
"summary",1,5,0.394824541824777,0.394824541824777,0.394824541824777,1.57350328978175
"summary",2,5,5.84526018325075,5.84526018325075,5.84526018325075,18.4271760455784
"summary",1,6,1.09832419822951,1.09832419822951,1.09832419822951,2.64522953166219
"summary",2,6,0.0858316991391745,0.0858316991391745,0.0858316991391745,1.86110249602414
"summary",1,7,0.693920400128345,0.693920400128345,0.693920400128345,5.22556119033747
"summary",2,7,0.364832265787633,0.364832265787633,0.364832265787633,4.78968038024168
"summary",1,8,0.589758212305085,0.589758212305085,0.589758212305085,0.173907374490645
"summary",2,8,0.454843953418461,0.454843953418461,0.454843953418461,0.103441510980667
"summary",1,9,1.61541696928076,1.61541696928076,1.61541696928076,1.30478599232012
"summary",2,9,0.000173196014535123,0.000173196014535123,0.000173196014535123,1.49984297254254e-08
"summary",1,10,1.29049649549375,1.29049649549375,1.29049649549375,0.832690602440819
"summary",2,10,1.71253952560977,1.71253952560977,1.71253952560977,1.46639581338787
"summary",1,11,1.75975622166746,1.75975622166746,1.75975622166746,1.54837097984867
"summary",2,11,2.37601613934417,2.37601613934417,2.37601613934417,2.82272634721199
"summary",1,12,3.44563053428237,3.44563053428237,3.44563053428237,9.77115159018853
"summary",2,12,7.17877957927357,7.17877957927357,7.17877957927357,29.3576296922255
"summary",1,13,1.20125198291744,1.20125198291744,1.20125198291744,5.1829980593843
"summary",2,13,0.902843418872618,0.902843418872618,0.902843418872618,4.60863355861776
"summary",1,14,1.61713255295935,1.61713255295935,1.61713255295935,2.78507004626333
"summary",2,14,1.87769547352973,1.87769547352973,1.87769547352973,3.09150083524239
"summary",1,15,0.641784034209991,0.641784034209991,0.641784034209991,2.24892998327213
"summary",2,15,1.02936529573164,1.02936529573164,1.02936529573164,2.38433471449356
"summary",1,16,1.93326177242709,1.93326177242709,1.93326177242709,1.86875054036396
"summary",2,16,2.05858006434529,2.05858006434529,2.05858006434529,2.11887594065992
"summary",1,17,0.5724030975325,0.5724030975325,0.5724030975325,3.19976014164526
"summary",2,17,0.872332038873416,0.872332038873416,0.872332038873416,3.18194861415849
"summary",1,18,0.443988513827656,0.443988513827656,0.443988513827656,2.14705487318144
"summary",2,18,0.851223704753432,0.851223704753432,0.851223704753432,2.2144615694255
"summary",1,19,0.0644767123792741,0.0644767123792741,0.0644767123792741,0.00207862321961982
"summary",2,19,4.55587578928284e-05,4.55587578928284e-05,4.55587578928284e-05,1.03780021036868e-09
"summary",1,20,0.608975394127005,0.608975394127005,0.608975394127005,3.70759391701077
"summary",2,20,2.97528085068142,2.97528085068142,2.97528085068142,7.67529815485654
