,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692,0.164372692
1,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002,1.030482002
2,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824,1.637763824
3,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637,2.868447637
