,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,120295.3533,86732.39694,54526.1181,71179.04524,196084.9181,56885.88181,446640.7816,95918.48219,232367,51391,13319.03538,25732.99331,46654,128367,81715.02349,63332.84732,29129.49896,18449.23336,20292.10543,21009.80926,40439.77241,32788.60624,19899.0524,21338.09099,25561.66671,25600.11204,13717.63524,8350.430578
1,226599.8176,94769.71637,76949.81445,34019.06844,36969.99269,78907.27101,36801.11845,378988.1924,121116.2796,542806.0893,114824.7587,20149.06858,34306.76729,100357.5598,214413.185,112558.0408,192348.7327,40953.65127,32448.89542,32471.94919,24576.69155,79261.81983,97401.61806,35145.02416,42040.82207,17896.3162,30187.13719,27918.90488
2,18557.17734,21572.16137,13225.02839,10721.20953,7993.30236,7089.391284,6738.339257,7088.256338,36503.04645,19791.83303,59092.57859,12602.45233,3166.463666,4403.590261,16988.44699,16197.84329,20577.8155,36557.76351,11016.11472,9167.618518,6052.914271,11138.68756,26972.55535,14791.7222,12243.98146,10101.92805,4495.551486,5190.889497
3,6114.384671,4194.99708,5049.556548,5198.891481,5150.709812,3853.392129,3270.578034,4355.314051,3057.26153,4796.414007,7878.272712,22392.01588,6503.673543,4638.692838,5172.991183,7144.29541,6449.375659,12472.5326,11674.34471,8070.029566,5486.399339,5748.547695,10129.44089,11053.5374,4243.341108,3963.478385,8073.343235,5551.107484
